date,nav
2015-02-02,2000000.0
2015-04-01,2070634.1759368225
2015-06-01,1964833.2886734735
2015-08-03,2113527.3074360783
2015-10-01,2001846.9624028988
2015-12-01,1998726.5249677487
2016-02-01,1926746.5746312924
2016-04-01,1898508.0487600155
2016-06-01,1987338.123276312
2016-08-01,2303292.643955539
2016-10-03,2485430.1610741857
2016-12-01,2296498.3977766614
2017-02-01,2588066.4234190565
2017-04-03,2826946.9302867763
2017-06-01,3127904.3123660563
2017-08-01,3413802.5494531896
2017-10-03,3602513.3052505944
2017-12-01,4026889.1680882503
2018-02-01,3880612.48527098
2018-04-02,3689011.1780148232
2018-06-01,4035918.8003893774
2018-08-01,4266018.208444087
2018-10-01,4123151.9409872806
2018-12-03,4115659.3336416995
2019-02-01,4185846.1888052737
2019-04-01,4318575.671547583
2019-06-03,4461969.288717821
2019-08-01,4149555.744866343
2019-10-01,4482053.187394114
2019-12-02,4708520.287972422
2020-02-03,5191340.237093008
2020-04-01,4197868.361578559
2020-06-01,5054422.210302924
2020-08-03,5913615.05069599
2020-10-01,6770777.271119465
2020-12-01,7815692.217934313
2021-02-01,9378168.310407432
2021-04-01,12095817.994399255
2021-06-01,14572144.99315706
2021-08-02,16260919.327508882
2021-10-01,16951519.77221457
2021-12-01,16972474.331161473
2022-02-01,18067627.600172646
2022-04-01,19575067.565487213
2022-06-01,18074079.22471767
2022-08-01,19370848.13752895
2022-10-03,20101026.084595848
2022-12-01,21655306.4934297
2023-02-01,20356083.279698804
2023-04-03,20896079.676841214
2023-06-01,24394640.478393033
2023-08-01,27960370.974548407
2023-10-03,32624120.90736286
2023-12-01,34817634.17509492
2024-02-01,38648091.11962501
2024-04-01,38913901.328652956
2024-06-03,45641734.49515545
2024-08-01,49493977.978203684
2024-10-01,51768384.01198299
2024-12-02,47020147.36749411
2025-02-01,43090334.939028844
2025-04-01,40556228.48541556
2025-06-02,47456673.39285575
2025-08-01,49548588.03072618
2025-10-01,49042025.74572128
2025-12-01,50566957.00820042
2026-02-02,49714275.698422566
2026-04-01,46710727.70482363
2026-06-01,49873784.53363527
